Wavelength (nm),EQE (%)
306.2091724,0.657016973
327.1534947,8.649008914
330.2335421,13.21169462
332.69758,15.63262648
335.8802956,17.73271195
338.2416653,20.64949733
348.5738242,30.03624301
341.6297174,23.7829582
344.8637671,26.31639464
348.7138264,27.8164557
356.4139448,32.39997558
360.1100017,34.80748097
363.4980538,36.80015467
370.5821628,38.56689324
391.0644779,45.09331627
394.9145371,47.69226464
401.3826367,50.14236436
429.8217408,56.23427897
437.5218593,58.09546583
446.1203249,59.90109488
460.3655441,62.30397045
475.6557793,63.91316293
491.4226886,65.51243437
510.4163141,66.11346893
527.3565747,65.31798201
544.2968353,64.54522329
559.6970723,63.02159225
571.24725,61.20670357
578.9473684,59.61983343
585.1074632,57.8563688
592.0375698,55.93426676
601.277712,54.01990313
615.1379252,52.52200667
628.2281266,51.12295983
637.4682687,48.87981298
642.4733457,46.69222394
647.0934168,44.58797163
651.328482,42.44205096
655.7945507,40.06695429
659.1826028,38.00020351
662.8786597,36.12929403
668.2687426,32.7888803
672.7348113,30.36655949
675.9688611,28.44148113
678.2788966,26.510847
680.7429345,24.53298873
683.9256501,22.49957263
691.1124274,18.62163702
694.295143,16.29932028
697.6831951,14.06922952
704.4592994,10.81576377
746.0399391,0.997615251
762.9801997,0.451705586
779.9204603,0.163815081
795.3206972,0.130143677
710.5263158,8.164556962
719.2982456,5.696202532
728.0701754,3.417721519
505.2631579,66.4556962
422.8070175,54.11392405
412.2807018,52.02531646
384.2105263,43.10126582
373.6842105,40.44303797
312.2807018,1.329113924
315.7894737,2.848101266
317.5438596,4.556962025
322.8070175,6.64556962
326.3157895,11.20253165
687.7192982,20.69620253
