Wavelength (nm),EQE (%)
806.1008631,22.11925412
822.2711119,24.03296837
848.1435099,27.57477919
863.8517516,29.28318206
877.7119648,30.89991453
897.7322728,33.2416765
913.1325097,35.05841711
928.5327467,36.77515365
943.9329836,38.49189019
960.1032324,40.2866602
977.043493,41.87763405
993.9837536,43.62012921
1010.924014,45.20352699
1027.864275,46.74904444
1044.804535,48.34759434
1061.744796,49.97644852
1078.685057,51.42347711
1095.625317,52.8477775
1112.565578,54.34783855
1129.505839,55.9160842
1146.446099,57.43129739
1163.38636,58.85559778
1180.32662,60.01473586
1197.266881,61.01477657
1214.207142,61.90117628
1231.147402,62.72696746
1248.087663,63.3406288
1265.027924,63.91640981
1281.968184,64.49219082
1298.908445,65.08312397
1315.848705,65.53011186
1332.788966,66.10589287
1349.729227,66.59076108
1366.669487,67.00744471
1383.609748,67.29533522
1400.550008,67.41655227
1417.490269,67.94687688
1434.43053,68.66660315
1451.37079,69.43936187
1468.311051,70.02271895
1485.251312,70.65910848
1502.191572,71.46217147
1519.131833,72.11371314
1535.610086,72.51827506
1549.932307,71.41346819
1557.632425,69.42926045
1562.252496,67.51251577
1565.640548,65.1679759
1569.567609,63.15122716
1572.26265,61.25531666
1574.572686,59.59552688
1577.652733,57.69267166
1580.732781,55.46341426
1584.58284,53.38694086
1589.356913,50.87294965
1593.05297,48.51174244
1598.443053,46.60888722
1602.549783,43.98378037
1609.993231,41.81702552
1616.923337,39.85861248
1623.853444,38.0335382
1632.323574,36.13623876
1641.563716,34.24727299
1650.803859,32.42775449
1659.273989,30.64990435
1673.134202,28.23313932
1683.914368,26.43544711
1695.464546,24.63924305
1707.784735,22.79541801
1720.104925,21.07659805
1732.425114,19.23277301
1743.975292,17.49460703
1755.52547,15.72221346
1767.845659,13.95130805
1780.165849,12.05539755
1792.486038,10.12823578
1800.186157,9.065692539
836.8421053,25.63291139
