Wavelength (nm),EQE (%)
302.5131156,47.41725345
314.8333051,49.38551538
327.9235065,51.06740201
336.3936368,53.1008181
346.4037908,55.27590663
357.1839567,56.91486222
367.1941107,58.97248565
376.4342528,60.75112947
383.3643595,62.69287517
389.5244542,64.96380093
403.3846675,68.83201392
413.3948215,70.71105865
424.9449992,72.75578473
438.8052124,74.58502585
453.2429345,76.24551009
471.9157218,77.67454553
488.8559824,78.72004263
505.796243,79.80342005
522.7365036,80.60648304
539.6767643,81.25802471
556.6170249,81.66713227
573.5572855,82.21260902
590.3435437,82.42701168
607.4378067,82.66717297
624.3780674,82.81111822
641.318328,82.86415069
658.2585886,82.83384642
675.1988492,82.79596609
690.5990861,83.09648337
709.0793705,82.81111822
726.0196311,82.72020543
742.9598917,82.82627036
759.9001523,82.69747723
776.8404129,82.7050533
793.7806735,82.48534739
810.7209342,82.26564148
827.6611948,81.89441425
844.6014554,81.68986047
861.541716,81.27317684
879.3375454,80.69823762
894.8062278,80.01858032
912.8758391,78.92964712
929.3027585,77.46241568
944.7029954,75.54062029
956.2531731,73.79054907
965.4933153,71.88769384
973.9634456,70.15151207
981.6635641,68.31810411
989.3636825,66.10134723
996.2937891,64.31794131
1003.223896,62.43453132
1010.154002,60.44278359
1016.314097,58.651044
1022.474192,56.96347531
1028.634287,54.859223
1034.02437,52.92858887
1039.414453,50.98406529
1044.804535,48.71016321
1049.424607,46.78945012
1054.044678,44.81714763
1058.664749,42.51149823
1063.28482,40.727475
1067.519885,38.42105397
1072.524962,36.34458057
1077.145033,34.17782572
1081.765104,32.06662868
1086.385175,30.03259528
1091.005246,27.95535024
1095.625317,25.53302943
1101.785412,23.34405145
1106.405483,21.48286459
1111.025554,19.64945663
1115.645625,17.59381741
1120.265696,15.64929383
1125.655779,13.64400388
1131.045862,11.37134193
1136.435945,9.363323701
1142.59604,7.273952949
1150.296158,5.426655542
1160.306312,3.56546868
1171.086478,1.815397452
1184.946691,0.391097059
1201.886952,0.050174092
1218.827213,-0.018010501
1235.767473,-0.055890831
1248.087663,-0.118014571
396.4912281,67.02531646
